Page Name,Codename,URL,Beginning Of Interval,Complete,Page Likes,Page Like Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate,Owned Facebook Video Posts (FB Video and Live),Owned Video Views (FB Video and Live),Owned Video Views from Page Posts (FB Video and Live),Owned Video Views (FB Video),Owned Video Views (FB Live),Owned Video Views from Shares (FB Video and Live),Videos Shared by Page (not included in Owned Videos),Video Views on Videos Shared by Page,Other Video Posts,Other Video Interactions,Other Video Interaction Rate,YouTube Posts,YouTube Interactions,YouTube Interaction Rate
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-14 0:00:00,Yes,0,0.00%,2,27,0.00%,NA,2,15,10,10,0,0,0,0,0,1,25,0.00%,0,0,NA,1,2,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-15 0:00:00,Yes,0,0.00%,5,10,-62.96%,NA,1,1,8,8,0,0,0,0,0,0,0,NA,2,3,0.00%,1,2,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,2,5,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-16 0:00:00,Yes,0,0.00%,6,56,460.00%,NA,2,21,33,32,0,0,0,0,1,2,49,0.00%,1,0,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,3,7,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-17 0:00:00,Yes,0,0.00%,1,18,-67.86%,NA,2,9,7,7,0,0,0,0,0,0,0,NA,0,0,NA,1,18,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-18 0:00:00,Yes,0,0.00%,2,6,-66.67%,NA,0,1,5,5,0,0,0,0,0,0,0,NA,1,0,0.00%,1,6,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-19 0:00:00,Yes,0,0.00%,4,2,-66.67%,NA,0,0,2,2,0,0,0,0,0,0,0,NA,4,2,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-20 0:00:00,Yes,0,0.00%,5,13,550.00%,NA,5,0,8,8,0,0,0,0,0,0,0,NA,4,9,0.00%,1,4,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-21 0:00:00,Yes,0,0.00%,3,8,-38.46%,NA,1,0,7,7,0,0,0,0,0,0,0,NA,1,3,0.00%,1,1,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,4,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-22 0:00:00,Yes,0,0.00%,6,64,700.00%,NA,9,21,34,33,0,0,0,0,1,2,52,0.00%,2,9,0.00%,1,0,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,3,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-02-23 0:00:00,Yes,0,0.00%,1,4,-93.75%,NA,1,0,3,3,0,0,0,0,0,0,0,NA,1,4,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
